Mass	Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	Crotyl Alcohol	H2	H2O
2.0	0.0	0.0	0.0	0.0	0.15584514274110817	0.0	0.0	100.0	0.0
12.0	0.0	0.0	6.132114125842048	99.99999999999999	0.6523525665489003	0.2727274627199628	0.45989159536241864	0.0	0.0
18.0	0.0	0.0	0.0	0.0	0.0	0.6759318229139903	1.0131575188454247	0.0	100.0
25.0	0.0	6.203806169123812	0.0	0.0	8.182601487215093	2.6937791001083835	2.7629375811351244	0.0	0.0
26.0	10.701070107010702	21.98502757380998	0.0	0.0	54.61005634242505	10.617674226490585	14.635768855068777	0.0	0.0
27.0	7.740774077407742	58.92724675382846	0.0	0.0	63.32545620828447	23.784859078083752	54.221916806279644	0.0	0.0
28.0	61.03610361036104	0.0	100.0	86.33400998564653	100.0	3.6061935501636495	18.461720805441836	0.0	0.0
29.0	100.0	45.50292126155967	1.182246586499812	0.8669544826929922	2.2659726232095028	30.73673009667451	93.41620158582644	0.0	0.0
30.0	0.0	2.2993596345943454	0.0	0.0	0.09707984139377554	8.2389447928761	4.714670385454953	0.0	0.0
31.0	0.0	2.2663906569606986	0.0	0.0	0.0	100.0	36.2146655805394	0.0	0.0
32.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5519124186803523	0.0	0.0
41.0	5.4605460546054605	100.0	0.0	0.0	0.0	1.2092125754324818	34.38668376988171	0.0	0.0
42.0	0.0	29.698963056212985	0.0	0.0	0.0	4.141303211795264	8.872419450859557	0.0	0.0
43.0	0.0	3.921632500650078	0.0	0.0	0.0	9.89855002990601	44.4417852031563	0.0	0.0
57.0	0.0	0.0	0.0	0.0	0.0	0.0	99.99999999999999	0.0	0.0
72.0	0.0	0.9543563527517975	0.0	0.0	0.0	0.0	26.922311367683633	0.0	0.0
73.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1666808159129058	0.0	0.0
